URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://simpleflatmapper.org/1.8.0/org/sfm/csv/impl/cellreader/time/JavaLocalDateCellValueReader.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/getter/joda/package-tree.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/ByteDelayedCellSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jooq/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/map/impl/AbstractFieldMapperMapperBuilder.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/tuples/Tuple27.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/cellreader/IntegerCellValueReaderUnbox.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/jdbc/spring/JdbcTemplateMapperFactory.html,404,,1/1/17,Not found,Desktop,1/4/17
http://simpleflatmapper.org/1.9.0/org/sfm/poi/impl/package-summary.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.6/org/sfm/csv/class-use/CsvMapper.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/cellreader/LongCellValueReader.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/getter/DateResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/primitive/IntMethodSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/asm/AsmUtils.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.6/org/sfm/jdbc/package-tree.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/meta/DefaultAliasProvider.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jdbc/impl/getter/InputStreamResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/meta/FieldAndMethodCallBack.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/meta/IndexedElement.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/primitive/BooleanSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jdbc/impl/getter/RefResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/primitive/BooleanMethodSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/tuples/Tuple11.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/primitive/LongMethodSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.10.1/org/sfm/querydsl/package-summary.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jdbc/impl/getter/ClobResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jdbc/impl/getter/ByteResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.6/org/sfm/jdbc/spring/package-summary.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/map/impl/fieldmapper/DoubleFieldMapper.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/primitive/CharacterFieldSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/utils/Predicate.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.6/org/sfm/map/MappingContext.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/csv/impl/primitive/ShortDelayedGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.3/org/sfm/reflect/asm/class-use/AsmUtils.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/utils/ForEachCallBack.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jooq/SfmRecordMapperProvider.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/package-tree.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/querydsl/TupleFieldMapperFactory.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/map/impl/IdentityFieldMapperColumnDefinitionProvider.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/csv/impl/cellreader/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/Getter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/Instantiator.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/utils/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.6/org/sfm/jdbc/package-summary.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/map/impl/ColumnsMapperKey.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jdbc/impl/getter/time/JavaLocalDateTimeResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/map/impl/IdentityFieldMapperColumnDefinitionProvider.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/class-use/EnumHelper.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/jdbc/package-summary.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/tuples/Tuple22.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/querydsl/QueryDslMappingProjection.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/reflect/primitive/CharacterGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/tuples/Tuple19.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.6/org/sfm/utils/package-summary.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/tuples/Tuple31.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/map/MappingContext.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/jdbc/impl/getter/ShortResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/tuples/Tuple32.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.10.1/org/sfm/map/class-use/FieldKey.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/map/Mapper.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/utils/ForEachIteratorIterator.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/reflect/InstantiatorFactory.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/tuples/Tuple18.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/jdbc/impl/ResultSetFieldMapperFactory.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/jdbc/impl/getter/ResultSetGetterFactory.StringResultSetGetterFactory.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/jdbc/impl/getter/NReaderResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/map/impl/LogFieldMapperErrorHandler.html,404,,12/31/16,Not found,Desktop,1/3/17
http://simpleflatmapper.org/1.8.0/org/sfm/map/column/time/JavaDateTimeFormatterProperty.html,404,,12/31/16,Not found,Desktop,1/4/17
http://simpleflatmapper.org/1.7.0/org/sfm/map/impl/MapperImpl.html,404,,12/31/16,Not found,Desktop,1/4/17
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/meta/DefaultPropertyNameMatcher.html,404,,12/31/16,Not found,Desktop,1/4/17
http://simpleflatmapper.org/1.8.0/org/sfm/utils/conv/StringToURLConverter.html,404,,12/31/16,Not found,Desktop,1/3/17
http://simpleflatmapper.org/1.8.0/org/sfm/utils/conv/ArrayConverter.html,404,,10/31/16,Not found,Desktop,10/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/primitive/ByteGetter.html,404,,10/31/16,Not found,Desktop,10/31/16
http://simpleflatmapper.org/1.8.1/org/sfm/csv/CsvReader.html,404,,10/28/16,Not found,Desktop,1/20/17
http://simpleflatmapper.org/1.6.1/org/sfm/tuples/Tuple27.html,404,,1/2/17,Not found,Desktop,1/2/17
http://simpleflatmapper.org/1.6.1/org/sfm/jdbc/impl/getter/BlobResultSetGetter.html,404,,1/2/17,Not found,Desktop,1/2/17
http://simpleflatmapper.org/1.6.1/org/sfm/jdbc/impl/getter/BigIntegerResultSetGetter.html,404,,1/2/17,Not found,Desktop,1/2/17
http://simpleflatmapper.org/1.7.0/org/sfm/tuples/class-use/Tuple5.html,404,,10/31/16,Not found,Desktop,10/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jdbc/impl/getter/BigIntegerResultSetGetter.html,404,,10/31/16,Not found,Desktop,10/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/getter/EnumResultSetGetter.html,404,,10/31/16,Not found,Desktop,10/31/16
